0	0.005960
1	0.000780
2	0.000550
3	0.000390
4	0.000300
5	0.000250
6	0.000240
7	0.000230
8	0.000220
9	0.000200
10	0.000200
11	0.000200
12	0.000220
13	0.000260
14	0.000340
15	0.000450
16	0.000580
17	0.000690
18	0.000750
19	0.000740
20	0.000720
21	0.000720
22	0.000740
23	0.000770
24	0.000790
25	0.000800
26	0.000830
27	0.000880
28	0.000940
29	0.000990
30	0.001060
31	0.001130
32	0.001220
33	0.001320
34	0.001410
35	0.001510
36	0.001630
37	0.001760
38	0.001890
39	0.002010
40	0.002160
41	0.002320
42	0.002510
43	0.002700
44	0.002870
45	0.003070
46	0.003270
47	0.003440
48	0.003590
49	0.003780
50	0.004090
51	0.004440
52	0.004820
53	0.005270
54	0.005830
55	0.006400
56	0.006890
57	0.007360
58	0.007840
59	0.008320
60	0.008870
61	0.009600
62	0.010440
63	0.011310
64	0.012230
65	0.013220
66	0.014330
67	0.015520
68	0.016710
69	0.017870
70	0.019070
71	0.020320
72	0.021610
73	0.022930
74	0.024290
75	0.025650
76	0.026970
77	0.028210
78	0.029350
79	0.030410
80	0.031360
81	0.032120
82	0.032630
83	0.032850
84	0.032760
85	0.032370
86	0.031700
87	0.030870
88	0.029720
89	0.028270
90	0.026540
91	0.024560
92	0.022370
93	0.020020
94	0.017580
95	0.015120
96	0.012710
97	0.010420
98	0.008310
99	0.006440
